header_genome,header_mitogenome,organism,uL01m,uL02m,uL03m,uL04m,uL05m,uL06m,bL07m,bL09m,uL10m,uL11m,uL13m,uL14m,uL15m,uL16m,bL17m,uL18m,bL19m,bL20m,bL21m,uL22m,uL23m,uL24m,bL25m,bL27m,bL28m,uL29m,uL30m,bL31m,bL32m,bL33m,bL34m,bL35m,bL36m,mL38,mL40,mL41,mL42,mL43,mL44,mL45,mL46,mL49,mL50,mL52,mL53,mL54,mL59,mL60,mL61,mL73,mL80,mL84,mL87,bS01m,uS02m,uS03m,uS04m,uS05m,bS06m,uS07m,uS08m,uS09m,uS10m,uS11m,uS12m,uS13m,uS14m,uS15m,bS16m,uS17m,bS18m,uS19m,bS21m,mS22,mS23,mS26,mS27,mS29,mS31,mS33,mS34,mS35,mS37,mS38,mS41,mS42,mS43,mS44,mS47,mS49,mS56,mS60,mS63,mS67
Ancoracysta,Atwista,Ancoracysta twista,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,yes,yes_mt/nuc,yes,yes_mt,yes,yes_mt,yes,no,yes_mt,yes_mt,yes,yes,yes,yes,no,yes_mt,yes,yes,no,yes_mt,yes_mt,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes_mt,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,yes,no,no,yes,yes_mt,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Acanthamoeba,Acastellanii,Acanthamoeba castellanii,no,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes_mt,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,no,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes_mt,yes_mt,no,yes,yes,yes,yes_mt,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Mastigamoeba,,Mastigamoeba balamuthi,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cavenderia,Dfasciculatum,Cavenderia fasciculata,no,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes_mt,yes,yes_mt,yes,yes_mt,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,no,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes,no,yes,yes,yes_mt,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
Ddiscoideum,Ddiscoideum*,Dictyostelium discoideum,no,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes_mt,yes,yes_mt,yes,yes_mt,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes_mt,yes,yes_mt,yes,no,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes,no,yes,yes,yes_mt,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Vermamoeba,Vermamoeba*,Vermamoeba vermiformis,no,yes_mt,yes,yes,no,yes_mt,yes,yes,no,yes_mt/nuc,yes,yes_mt,yes,yes_mt,yes,no,yes_mt,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,no,yes_mt,yes_mt,yes,yes,yes_mt/nuc,yes_mt,yes_mt,yes_mt,yes,yes_mt,yes,yes,yes_mt,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Cyanophora,Cyanophora*,Cyanophora paradoxa,no,yes_mt,no,no,yes_mt,yes_mt,no,no,no,no,no,yes_mt,no,yes_mt,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes_mt,yes_mt,no,no,yes_mt,no,no,yes_mt,yes_mt,yes_mt,yes_mt,no,yes,no,no,no,yes_mt,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Glaucocystis,Glaucocystis*,Glaucocystis nostochinearum,no,yes_mt,no,yes,yes_mt,yes_mt,yes,yes,no,no,no,no,no,yes_mt,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes_mt,no,no,no,yes_mt,no,yes,yes_mt,yes_mt,yes_mt,yes_mt,no,yes,yes,no,no,yes_mt,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Picobiliphyte,Picobiliphyte*,Picobiliphyte sp. MS584-11,no,yes,no,no,yes_mt,yes_mt,no,no,no,yes,no,yes_mt,no,yes_mt,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes_mt,no,no,yes_mt,yes_mt,yes,no,no,yes_mt,yes_mt,yes_mt,no,no,no,no,yes_mt,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Rmarinus,,Rhodelphis marinus,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
