organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Ancoracysta twista,Ancoracysta,mitogenome_<genename>_Atwista,AncoTwis,2044563,ANCTW,u,Atwista,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR6175506,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_036491.1/,
Acanthamoeba castellanii*,Acanthamoeba,mitogenome_<genename>_Acastellanii,AcanCast,5755,ACACA,n,Acastellanii,Genome,https://academic.oup.com/mbe/article/38/3/788/5901548,,,
Mastigamoeba balamuthi,Mastigamoeba,,,108607,MASBA,n,,Genome,https://bioinformatics.psb.ugent.be/gdb/mastigamoeba/,,,
Cavenderia fasciculata,Cavenderia,mitogenome_<genename>_Dfasciculatum,CaveFasc,261658,CAVF2,n,Dfasciculatum,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000203815.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_010653.1,
Dictyostelium discoideum,Ddiscoideum,mitogenome_<genename>_Ddiscoideum,DictDisc,44689,DICDI,n,Ddiscoideum*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000004695.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_000895.1,
Vermamoeba vermiformis,Vermamoeba,mitogenome_<genename>_Vermamoeba,VermVerm,5778,VERVE,u,Vermamoeba*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR5396399,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/KT185627.1/,
Cyanophora paradoxa,Cyanophora,mitogenome_<genename>_Cyanophora,CyanPara,2762,CYAPA,n,Cyanophora*,Genome,http://cyanophora.rutgers.edu/cyanophora_v2018/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_017836.1,
Glaucocystis nostochinearum,Glaucocystis,mitogenome_<genename>_Glaucocystis,GlauNost,38271,GLANO,u,Glaucocystis*,Transcriptome,https://www.ncbi.nlm.nih.gov/biosample/?term=Glaucocystis%20nostochinearum,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_015117.1,
Picobiliphyte sp. MS584-11,Picobiliphyte,mitogenome_<genename>_Picobiliphyte,PicoMs58,1157699,PICS2,u,Picobiliphyte*,Genome,https://www.ncbi.nlm.nih.gov/sra/SRR068244,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/MG202007.1,
Rhodelphis marinus,Rmarinus,mitogenome not available,RhodMari,2584957,RHOMA,u,,Transcriptome,https://datadryad.org/stash/dataset/doi:10.5061/dryad.tr6d8q2,,,
Porphyridium purpureum,Porphyra,(mitogenome does not contain ribosomal protein genes),PorpPurp,35688,PORPU,n,,Genome,http://porphyra.rutgers.edu/bindex.php,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/MT483996.1,
Cyanidioschyzon merolae,Cyanidioschyzon,mitogenome_<genename>_Cyanidioschyzon,CyanMero,45157,CYAME,n,Cyanidioschyzon*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000091205.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_000887.3,
Galdieria sulphuraria,Galdieria,(mitogenome does not contain ribosomal protein genes),GaldSulp,130081,GALSU,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000341285.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_024666.1,
Chlamydomonas reinhardtii,Chlamydomonas,(mitogenome does not contain ribosomal protein genes),ChlaRein,3055,CHLRE,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000002595.2/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_001638.1,
Pycnococcus provasolii,Pycnococcus,mitogenome_<genename>_Pycnococcus,PycnProv,41880,PYCPR,n,Pycnococcus*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_015473125.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/GQ497137.1,
Chlorella variabilis,Chlorella,mitogenome_<genename>_Chlorella,ChloVari,554065,CHLVA,n,Chlorella*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000147415.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_025413.1,
Chara braunii,Chara,mitogenome_<genename>_Chara-brauni,CharBrau,69332,CHABU,n,Chara-brauni,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_003427395.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AP018556.1,
Arabidopsis thaliana*,Arabidopsis,mitogenome_<genename>_Athaliana,ArabThal,3702,ARATH,n,Athaliana,Genome,https://www.nature.com/articles/s41477-020-0631-5,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_037304.1,
