Delete,Change_to_N,Change_to_M,Change_to_U
Acanthamoeba_Amoebozoa_ELR23901.1_ribosomal_protein_l7-l12_cterminal_domain_containing_protein,Acanthamoeba_Amoebozoa_ELR21948.1,Fonticula_Holomycota_XP_009498417.1_ribosomal_protein_L14_mitochondrion,Arabidopsis_Streptophyta_uS4m
Chlorella_Chlorophyta_XP_005842675.1,Homo_Holozoa_NP_002940.2_39S_ribosomal_protein_L12_mitochondrial,Fonticula_Holomycota_XP_009498418.1_riibosomal_protein_L5_mitochondrion,Chlorella_Chlorophyta_XP_005842678.1
Paramicrosporidium_Holozoa_PJF20199.1_ribosomal_protein_S12_mitochondrion_,Homo_Holozoa_XP_011512381.1_39S_ribosomal_protein_L36_mitochondrial_isoform_X1,Fonticula_Holomycota_XP_009498407.1_ribosomal_protein_S12_mitochondrion,
mitogenome_rps13_Fonticula_NW_009243184.1_prot_XP_009498423.1_4,Arabidopsis_Streptophyta_AEC05666.1_Ribosomal_protein_L12-_ATP-dependent_Clp_protease_adaptor_protein_ClpS_family_protein,Fonticula_Holomycota_XP_009498423.1_ribosomal_protein_S13_partial_mitochondrion,
Arabidopsis_Streptophyta_DAB41497.2_TPA_asm_ribosomal_protein_S3_mitochondrion,Arabidopsis_Streptophyta_AEC06070.1_Ribosomal_protein_S12-S23_family_protein,Fonticula_Holomycota_XP_009498419.1_ribosomal_protein_S14_partial_mitochondrion,
Arabidopsis_Streptophyta_DAB41501.2_TPA_asm_ribosomal_protein_S7_mitochondrion,Arabidopsis_Streptophyta_AEC06100.1_Nucleic_acid-binding_OB-fold-like_protein,Monosiga_Holozoa_NP_696993.1_ribosomal_protein_L29_mitochondrion,
Arabidopsis_Streptophyta_DAB41504.2_TPA_asm_ribosomal_protein_S4_mitochondrion,Arabidopsis_Streptophyta_AEC06107.1_Ribosomal_L5P_family_protein,Monosiga_Holozoa_NP_696970.1_ribosomal_protein_S12_mitochondrion,
Arabidopsis_Streptophyta_DAB41518.2_TPA_asm_ribosomal_protein_S12_mitochondrion,Arabidopsis_Streptophyta_AEC06112.1_Alpha-L_RNA-binding_motif-Ribosomal_protein_S4_family_protein,Monosiga_Holozoa_NP_696977.1_ribosomal_protein_S13_mitochondrion,
Trypanosoma_Euglenozoa_XP_827162.1,Arabidopsis_Streptophyta_AEC06555.1_Ribosomal_protein_L27_family_protein,Monosiga_Holozoa_NP_696965.1_ribosomal_protein_S14_mitochondrion,
Trypanosoma_Euglenozoa_XP_828675.1,Arabidopsis_Streptophyta_AEC06765.1_ribosomal_protein_L6_family_protein,Monosiga_Holozoa_NP_696979.1_ribosomal_protein_S19_mitochondrion,
Trypanosoma_Euglenozoa_XP_845521.1_superoxide_dismutase_putative,Arabidopsis_Streptophyta_AED91717.1_Ribosomal_protein_L19_family_protein,Monosiga_Holozoa_NP_696992.1_ribosomal_protein_S3_mitochondrion,
Trypanosoma_Euglenozoa_XP_829047.1,Arabidopsis_Streptophyta_AED92013.1_Mitochondrial_ribosomal_protein_L37,Monosiga_Holozoa_NP_696974.1_ribosomal_protein_S4_mitochondrion,
Trypanosoma_Euglenozoa_XP_823411.1,Arabidopsis_Streptophyta_AED92131.1_Ribosomal_protein_L27_family_protein,Monosiga_Holozoa_NP_696966.1_ribosomal_protein_S8_mitochondrion,
Trypanosoma_Euglenozoa_XP_845011.1,Arabidopsis_Streptophyta_AED93679.1_Mitochondrial_inner_membrane_translocase_complex_subunit_Tim44-related_protein,Acanthamoeba_Amoebozoa_uL11m,
Trypanosoma_Euglenozoa_XP_844665.1_ribosomal_protein_L7-L12_putative,Arabidopsis_Streptophyta_AED93680.1_Mitochondrial_inner_membrane_translocase_complex_subunit_Tim44-related_protein,Acanthamoeba_Amoebozoa_uL14m,
Trypanosoma_Euglenozoa_XP_822443.1,Arabidopsis_Streptophyta_AED94477.1_Mitochondrial_ribosomal_protein_L27,Acanthamoeba_Amoebozoa_uL16m,
Trypanosoma_Euglenozoa_XP_846037.1,Arabidopsis_Streptophyta_AED95348.1_Ribosomal_protein_L14p-L23e_family_protein,Acanthamoeba_Amoebozoa_uL2m,
Trypanosoma_Euglenozoa_XP_829081.1,Arabidopsis_Streptophyta_AED95807.1_thiamine-phosphate_synthase,Acanthamoeba_Amoebozoa_uL5m,
Andalucia_Jakobida_00845.mRNA.1_mitochondrial_ribosomal_protein_S16_bS16m,Arabidopsis_Streptophyta_AED96300.1_Ribosomal_protein_L9-RNase_H1,Acanthamoeba_Amoebozoa_uL6m,
Andalucia_Jakobida_08548.mRNA.1_mitochondrial_ribosomal_protein_L25_bL25m,Arabidopsis_Streptophyta_AED97127.1_28S_ribosomal_S34_protein,Acanthamoeba_Amoebozoa_uS11m,
Tetrahymena_Ciliophora_XP_001017206.2_ribosomal_protein_S18,Arabidopsis_Streptophyta_AED97588.1_ribosomal_protein_L20_mS45,Acanthamoeba_Amoebozoa_uS12m,
Tetrahymena_Ciliophora_XP_001018154.2_50S_ribosomal_protein_L21,Arabidopsis_Streptophyta_AED97711.1,Acanthamoeba_Amoebozoa_uS13m,
Tetrahymena_Ciliophora_XP_001025650.1_ribosomal_protein_L9_amine-terminal_domain_protein,Arabidopsis_Streptophyta_AED97932.1_Ribosomal_protein_L17_family_protein,Acanthamoeba_Amoebozoa_uS14m,
Tetrahymena_Ciliophora_XP_001027843.2_ribosomal_protein_L7-L12_carboxy-terminal_domain_protein,Arabidopsis_Streptophyta_AED98272.1_Ribosomal_protein_L25-Gln-tRNA_synthetase_anti-codon-binding_domain-containing_protein,Acanthamoeba_Amoebozoa_uS19m,
Tetrahymena_Ciliophora_XP_001031976.1,Arabidopsis_Streptophyta_AEE28358.1_Ribosomal_L18p-L5e_family_protein,Acanthamoeba_Amoebozoa_uS2m,
Chlamydomonas_Chlorophyta_XP_001695045.1_mitochondrial_ribosomal_protein_S18_partial,Arabidopsis_Streptophyta_AEE28359.1_Ribosomal_L18p-L5e_family_protein,Acanthamoeba_Amoebozoa_uS3m,
Chlamydomonas_Chlorophyta_XP_001695338.1_predicted_protein,Arabidopsis_Streptophyta_AEE29192.1_decoy,Acanthamoeba_Amoebozoa_uS4m,
mitogenome_rpl11_Acastellanii_20,Arabidopsis_Streptophyta_AEE29491.1_Ribosomal_protein_L20,Acanthamoeba_Amoebozoa_uS7m,
mitogenome_rpl14_Acastellanii_27,Arabidopsis_Streptophyta_AEE29606.1_Ribosomal_protein_L14p-L23e_family_protein,Acanthamoeba_Amoebozoa_uS8m,
mitogenome_rpl16_Acastellanii_26,Arabidopsis_Streptophyta_AEE30726.1_Ribosomal_L32p_protein_family,Andalucia_Jakobida_bL19m,
mitogenome_rpl2_Acastellanii_23,Arabidopsis_Streptophyta_AEE32150.1,Andalucia_Jakobida_bL27m,
mitogenome_rpl5_Acastellanii_28,Arabidopsis_Streptophyta_AEE34931.1_Ribosomal_L32p_protein_family,Andalucia_Jakobida_bL31m,
mitogenome_rpl6_Acastellanii_31,Arabidopsis_Streptophyta_AEE35030.1_ribosomal_protein_L7-L12_domain-containing_protein,Andalucia_Jakobida_bL32m,
mitogenome_rps11_Acastellanii_33,Arabidopsis_Streptophyta_AEE36428.1_S15-NS1_RNA-binding_protein,Andalucia_Jakobida_bL34m,
mitogenome_rps12_Acastellanii_21,Arabidopsis_Streptophyta_AEE74299.1_IGR_motif_protein,Andalucia_Jakobida_bL35m,
mitogenome_rps13_Acastellanii_32,Arabidopsis_Streptophyta_AEE74334.1_Ribosomal_protein_L12-_ATP-dependent_Clp_protease_adaptor_protein_ClpS_family_protein,Andalucia_Jakobida_bS1m,
mitogenome_rps14_Acastellanii_29,Arabidopsis_Streptophyta_AEE75431.1_Ribosomal_protein_L34,Andalucia_Jakobida_uL10m,
mitogenome_rps19_Acastellanii_24,Arabidopsis_Streptophyta_AEE75432.1_Ribosomal_protein_L34,Andalucia_Jakobida_uL11m,
mitogenome_rps2_Acastellanii_12,Arabidopsis_Streptophyta_AEE76142.1_Translation_elongation_factor_EF1B-ribosomal_protein_S6_family_protein,Andalucia_Jakobida_uL14m,
mitogenome_rps3_Acastellanii_25,Arabidopsis_Streptophyta_AEE76143.1_Translation_elongation_factor_EF1B-ribosomal_protein_S6_family_protein,Andalucia_Jakobida_uL16m,
mitogenome_rps4_Acastellanii_5,Arabidopsis_Streptophyta_AEE76163.1_Nucleic_acid-binding_OB-fold-like_protein,Andalucia_Jakobida_uL18m,
mitogenome_rps7_Acastellanii_22,Arabidopsis_Streptophyta_AEE76350.1_Ribosomal_L18p-L5e_family_protein,Andalucia_Jakobida_uL1m,
mitogenome_rps8_Acastellanii_30,Arabidopsis_Streptophyta_AEE76641.1_Ribosomal_L18p-L5e_family_protein,Andalucia_Jakobida_uL2m,
mitogenome_rpl10_Andalucia_158,Arabidopsis_Streptophyta_AEE77980.1_Ribosomal_L18p-L5e_family_protein,Andalucia_Jakobida_uL5m,
mitogenome_rpl11_Andalucia_156,Arabidopsis_Streptophyta_AEE79950.1_mitochondrial_ribosomal_protein_L51-S25-CI-B8_family_protein,Andalucia_Jakobida_uL6m,
mitogenome_rpl14_Andalucia_173,Arabidopsis_Streptophyta_AEE82712.2_Mitochondrial_ribosomal_protein_L27,Andalucia_Jakobida_uS10m,
mitogenome_rpl16_Andalucia_172,Arabidopsis_Streptophyta_AEE83031.1_Ribosomal_protein_L19_family_protein,Andalucia_Jakobida_uS11m,
mitogenome_rpl18_Andalucia_178,Arabidopsis_Streptophyta_AEE84407.1_copper_ion-binding_protein,Andalucia_Jakobida_uS12m,
mitogenome_rpl19_Andalucia_183,Arabidopsis_Streptophyta_AEE84456.1_Ribosomal_protein_S24-S35,Andalucia_Jakobida_uS13m,
mitogenome_rpl1_Andalucia_157,Arabidopsis_Streptophyta_AEE84785.1_Ribosomal_protein_L25-Gln-tRNA_synthetase_anti-codon-binding_domain-containing_protein,Andalucia_Jakobida_uS14m,
mitogenome_rpl20_Andalucia_212,Arabidopsis_Streptophyta_AEE84786.1_Ribosomal_protein_L25-Gln-tRNA_synthetase_anti-codon-binding_domain-containing_protein,Andalucia_Jakobida_uS19m,
mitogenome_rpl27_Andalucia_218,Arabidopsis_Streptophyta_AEE85473.1_Ribosomal_protein_L22p-L17e_family_protein,Andalucia_Jakobida_uS2m,
mitogenome_rpl2_Andalucia_169,Arabidopsis_Streptophyta_AEE85963.1,Andalucia_Jakobida_uS3m,
mitogenome_rpl31_Andalucia_220,Arabidopsis_Streptophyta_AEE86401.1_small_subunit_ribosomal_protein_16,Andalucia_Jakobida_uS4m,
mitogenome_rpl32_Andalucia_194,Arabidopsis_Streptophyta_AEE86654.1_Ribosomal_protein_L12_family_protein,Andalucia_Jakobida_uS7m,
mitogenome_rpl34_Andalucia_219,Arabidopsis_Streptophyta_AEE86821.1_Ribosomal_protein_L12-_ATP-dependent_Clp_protease_adaptor_protein_ClpS_family_protein,Andalucia_Jakobida_uS8m,
mitogenome_rpl35_Andalucia_211,Arabidopsis_Streptophyta_ANM58933.1_Ribosomal_protein_L14p-L23e_family_protein,Andalucia_Jakobida_bL20m,
mitogenome_rpl5_Andalucia_174,Arabidopsis_Streptophyta_ANM59826.1_Ribosomal_protein_L19_family_protein,Saccharomyces_Holomycota_uS3m,
mitogenome_rpl6_Andalucia_177,Arabidopsis_Streptophyta_ANM64237.1_Ribosomal_protein_L13_family_protein,Tetrahymena_Ciliophora_uL10m,
mitogenome_rps10_Andalucia_168,Arabidopsis_Streptophyta_ANM66762.1_Ribosomal_protein_S24-S35,Tetrahymena_Ciliophora_uL14m,
mitogenome_rps11_Andalucia_180,Arabidopsis_Streptophyta_ANM69891.1_stress_response_NST1-like_protein,Tetrahymena_Ciliophora_uL16m,
